date;valeur
18/09/2015;293.97
21/09/2015;292.58
22/09/2015;293.45
23/09/2015;296.6
24/09/2015;296.6
25/09/2015;296.6
28/09/2015;298.66
29/09/2015;296.68
30/09/2015;298.06
01/10/2015;299.21
02/10/2015;301.7
05/10/2015;302.17
06/10/2015;303.33
07/10/2015;302.63
08/10/2015;301.28
09/10/2015;301.99
12/10/2015;300.15
13/10/2015;302.2
14/10/2015;303.26
15/10/2015;304.76
16/10/2015;303.47
19/10/2015;303.73
20/10/2015;303.5
21/10/2015;305.41
22/10/2015;307.21
23/10/2015;304.25
26/10/2015;305.82
27/10/2015;306.23
28/10/2015;306.11
29/10/2015;304.84
30/10/2015;303.31
02/11/2015;304.37
03/11/2015;303.65
04/11/2015;302.45
05/11/2015;303.64
06/11/2015;303.46
09/11/2015;304.24
10/11/2015;303.53
11/11/2015;304.75
12/11/2015;304.29
13/11/2015;303.14
16/11/2015;301.72
17/11/2015;302.27
18/11/2015;300.63
19/11/2015;301.22
20/11/2015;308.52
23/11/2015;303.47
24/11/2015;302.35
25/11/2015;303.11
26/11/2015;303.56
27/11/2015;306.4
30/11/2015;305.43
01/12/2015;303.8
02/12/2015;305.97
03/12/2015;304.22
04/12/2015;304.99
07/12/2015;305.52
08/12/2015;306.02
09/12/2015;302.64
10/12/2015;299.06
11/12/2015;298.34
14/12/2015;296.06
15/12/2015;293.2
16/12/2015;294.66
17/12/2015;293.58
18/12/2015;290.9
21/12/2015;295.26
22/12/2015;295.18
23/12/2015;292.85
24/12/2015;292.85
25/12/2015;292.85
28/12/2015;296.79
29/12/2015;297.94
30/12/2015;303.78
31/12/2015;303.93
04/01/2016;302.43
05/01/2016;300.27
06/01/2016;297.6
07/01/2016;296.83
08/01/2016;295.34
11/01/2016;294.46
12/01/2016;296.36
13/01/2016;294.72
14/01/2016;297.06
15/01/2016;294.8
18/01/2016;293.74
19/01/2016;292.88
20/01/2016;292.45
21/01/2016;290.37
22/01/2016;291.24
25/01/2016;287.79
26/01/2016;289.34
27/01/2016;289.04
28/01/2016;289.74
29/01/2016;289.77
01/02/2016;288.97
02/02/2016;290.31
03/02/2016;291.8
04/02/2016;293.04
05/02/2016;293.0
08/02/2016;292.3
09/02/2016;294.0
10/02/2016;292.65
11/02/2016;293.52
12/02/2016;293.81
15/02/2016;292.46
16/02/2016;297.13
17/02/2016;299.1
18/02/2016;302.27
19/02/2016;298.86
22/02/2016;301.63
23/02/2016;303.8
24/02/2016;304.91
25/02/2016;306.53
26/02/2016;305.29
29/02/2016;302.97
01/03/2016;303.93
02/03/2016;302.78
03/03/2016;307.65
04/03/2016;307.3
07/03/2016;312.48
08/03/2016;314.46
09/03/2016;318.74
10/03/2016;320.26
11/03/2016;316.68
14/03/2016;315.78
15/03/2016;312.32
16/03/2016;309.42
17/03/2016;307.87
18/03/2016;306.58
21/03/2016;311.1
22/03/2016;311.79
23/03/2016;314.54
24/03/2016;314.56
25/03/2016;314.38
28/03/2016;314.38
29/03/2016;316.04
30/03/2016;315.46
31/03/2016;314.46
01/04/2016;315.03
04/04/2016;315.99
05/04/2016;313.3
06/04/2016;313.29
07/04/2016;314.06
08/04/2016;314.59
11/04/2016;311.55
12/04/2016;312.46
13/04/2016;314.05
14/04/2016;314.38
15/04/2016;314.72
18/04/2016;314.0
19/04/2016;314.92
20/04/2016;314.04
21/04/2016;316.37
22/04/2016;320.3
25/04/2016;318.34
26/04/2016;318.55
27/04/2016;316.38
28/04/2016;317.62
29/04/2016;318.68
02/05/2016;318.68
03/05/2016;317.36
04/05/2016;318.34
05/05/2016;318.34
06/05/2016;310.29
09/05/2016;308.01
10/05/2016;308.45
11/05/2016;307.23
12/05/2016;306.57
13/05/2016;308.94
16/05/2016;308.94
17/05/2016;310.77
18/05/2016;315.12
19/05/2016;315.69
20/05/2016;314.54
23/05/2016;310.33
24/05/2016;311.22
25/05/2016;306.63
26/05/2016;308.36
27/05/2016;309.17
30/05/2016;306.3
31/05/2016;305.73
01/06/2016;307.74
02/06/2016;306.11
03/06/2016;304.7
06/06/2016;304.72
07/06/2016;304.92
08/06/2016;304.13
09/06/2016;307.01
